code_stop,line_salida,trayect_salida,time_salida,time
108,9,3,23:30,0:00
638,9,4,23:25,0:00
1121,7,4,0:00,0:00
639,9,4,23:25,0:01
40,9,3,23:30,0:02
78,7,4,0:00,0:02
640,9,4,23:25,0:02
643,9,4,23:25,0:02
41,9,3,23:30,0:03
79,7,4,0:00,0:03
80,7,4,0:00,0:03
729,9,4,23:25,0:03
798,14,1,23:00,0:03
730,9,4,23:25,0:04
731,9,4,23:25,0:04
799,14,1,23:00,0:04
801,14,1,23:00,0:04
81,7,4,0:00,0:05
146,9,3,23:30,0:05
732,9,4,23:25,0:05
733,9,4,23:25,0:06
802,14,1,23:00,0:06
803,14,1,23:00,0:06
82,7,4,0:00,0:07
148,9,3,23:30,0:07
149,9,3,23:30,0:07
734,9,4,23:25,0:07
735,9,4,23:25,0:07
1082,14,1,23:00,0:07
219,9,3,23:30,0:08
220,9,3,23:30,0:08
423,7,4,0:00,0:08
736,9,4,23:25,0:08
804,14,1,23:00,0:08
222,9,3,23:30,0:09
424,7,4,0:00,0:09
738,9,4,23:25,0:09
805,14,1,23:00,0:09
807,14,1,23:00,0:09
425,7,4,0:00,0:10
739,9,4,23:25,0:10
808,14,1,23:00,0:10
426,9,3,23:30,0:11
427,7,4,0:00,0:11
742,9,4,23:25,0:11
810,14,1,23:00,0:11
291,7,4,0:00,0:12
422,9,3,23:30,0:12
811,14,1,23:00,0:12
156,9,3,23:30,0:13
292,7,4,0:00,0:13
812,14,1,23:00,0:13
166,7,4,0:00,0:14
814,14,1,23:00,0:14
815,14,1,23:00,0:15
816,14,1,23:00,0:16
96,7,4,0:00,0:17
172,7,4,0:00,0:17
817,14,1,23:00,0:17
818,14,1,23:00,0:17
888,7,4,0:00,0:17
77,9,4,0:25,0:18
97,7,4,0:00,0:18
98,7,4,0:00,0:18
100,7,4,0:00,0:19
102,7,4,0:00,0:19
103,7,4,0:00,0:20
104,7,4,0:00,0:20
106,7,4,0:00,0:21
108,7,4,0:00,0:22
109,7,4,0:00,0:24
110,7,4,0:00,0:26
78,9,4,0:25,0:27
111,7,4,0:00,0:27
112,7,4,0:00,0:28
820,14,2,0:20,0:28
79,9,4,0:25,0:29
113,7,4,0:00,0:29
821,14,2,0:20,0:29
80,9,4,0:25,0:30
114,7,4,0:00,0:30
823,14,2,0:20,0:30
115,7,4,0:00,0:31
2218,14,2,0:20,0:31
116,7,4,0:00,0:32
827,14,2,0:20,0:32
81,9,4,0:25,0:33
118,7,4,0:00,0:33
828,14,2,0:20,0:33
82,9,4,0:25,0:34
830,14,2,0:20,0:34
119,7,4,0:00,0:35
831,14,2,0:20,0:35
423,9,4,0:25,0:36
834,14,2,0:20,0:36
122,7,4,0:00,0:37
836,14,2,0:20,0:37
123,7,4,0:00,0:38
424,9,4,0:25,0:38
1083,14,2,0:20,0:38
124,7,4,0:00,0:39
125,7,4,0:00,0:39
427,9,4,0:25,0:39
837,14,2,0:20,0:39
839,14,2,0:20,0:40
126,7,4,0:00,0:41
291,9,4,0:25,0:41
1084,14,2,0:20,0:41
127,7,4,0:00,0:42
292,9,4,0:25,0:42
845,14,2,0:20,0:42
128,7,4,0:00,0:43
130,7,4,0:00,0:44
166,9,4,0:25,0:44
848,14,2,0:20,0:44
849,14,2,0:20,0:45
131,7,4,0:00,0:46
133,7,4,0:00,0:46
167,9,4,0:25,0:46
851,14,2,0:20,0:46
134,7,4,0:00,0:47
295,9,4,0:25,0:47
327,14,2,0:20,0:47
42,9,4,0:25,0:48
109,9,4,0:25,0:48
328,14,2,0:20,0:48
329,14,2,0:20,0:48
135,7,4,0:00,0:49
136,7,4,0:00,0:49
330,14,2,0:20,0:49
1076,14,2,0:20,0:49
137,7,4,0:00,0:50
332,14,2,0:20,0:50
333,14,2,0:20,0:50
625,9,4,0:25,0:50
900,9,4,0:25,0:50
138,7,4,0:00,0:51
336,14,2,0:20,0:51
