rowid,line,trayect,time,mod
1,24,7,6:55,
2,1,1,7:50,
3,1,5,8:00,
4,1,3,7:38,
5,4,3,7:50,
6,24,7,7:50,
7,1,3,8:38,
8,1,3,9:38,
9,1,3,10:38,
10,1,3,11:38,
11,1,3,12:38,
12,1,3,13:38,
13,1,3,14:38,
14,1,3,6:38,
15,80,1,6:49,
16,80,1,11:49,
17,80,1,12:49,
18,80,1,6:49,
19,80,1,11:49,
20,80,1,12:49,
21,80,1,6:49,
22,80,1,11:49,
23,80,1,6:49,
24,80,1,11:49,
25,80,1,12:49,
26,1,1,6:45,
27,1,3,7:38,
28,1,3,8:38,
29,1,3,10:38,
30,1,3,11:38,
31,80,1,11:49,
32,80,1,12:49,
33,1,3,13:38,
34,1,3,6:38,
35,1,3,9:38,
36,1,3,12:38,
37,1,1,6:45,
38,80,1,6:49,
39,1,3,7:38,
40,1,3,8:38,
41,24,4,9:00,
42,24,4,10:00,
43,1,3,10:38,
44,24,4,11:00,
45,1,3,11:38,
46,80,1,11:49,
47,24,4,12:00,
48,1,3,12:38,
49,80,1,12:49,
50,1,3,13:38,
51,24,4,14:00,
52,1,3,14:38,
53,24,4,17:00,
54,24,4,18:00,
55,24,4,19:00,
56,1,3,6:38,
57,24,4,8:00,
58,1,1,6:45,
59,80,1,6:49,
60,1,1,7:50,
61,1,3,7:38,
62,1,5,8:00,
63,1,3,8:38,
64,24,4,9:00,
65,1,3,9:38,
66,24,4,10:00,
67,1,3,10:38,
68,24,4,11:00,
69,1,3,11:38,
70,80,1,11:49,
71,24,4,12:00,
72,1,3,12:38,
73,80,1,12:49,
74,1,3,13:38,
75,24,4,13:00,
76,24,4,14:00,
77,1,3,14:38,
78,24,4,17:00,
79,24,4,18:00,
80,24,4,19:00,
81,1,3,6:38,
82,24,4,8:00,
83,7,3,4:05,
84,24,3,5:00,
85,7,3,5:35,
86,24,5,6:00,
87,24,3,6:00,
88,6,1,6:30,
89,7,3,6:30,
90,1,1,6:45,
91,24,5,7:00,
92,24,7,6:55,
93,24,3,7:00,
94,7,1,7:15,
95,24,1,7:35,
96,1,1,7:50,
97,1,5,8:00,
98,4,3,7:50,
99,24,7,7:50,
100,24,3,8:00,
101,7,1,8:15,
102,24,5,8:30,
103,1,3,8:38,
104,24,5,9:00,
105,7,1,9:15,
106,6,1,9:30,
107,24,1,9:35,
108,1,3,9:38,
109,24,1,10:05,
110,24,3,10:00,
111,7,1,10:15,
112,24,5,10:30,
113,1,3,10:38,
114,24,3,11:00,
115,7,1,11:15,
116,24,1,11:35,
117,1,3,11:38,
118,6,1,12:05,
119,24,3,12:00,
120,7,1,12:15,
121,24,5,12:30,
122,6,1,12:40,
123,1,3,12:38,
124,24,1,13:05,
125,24,3,13:00,
126,7,1,13:15,
127,24,1,13:35,
128,1,3,13:38,
129,24,1,14:05,
130,24,3,14:00,
131,7,1,14:15,
132,24,5,14:30,
133,1,3,14:38,
134,24,3,15:00,
135,24,1,15:05,
136,1,3,17:38,
137,24,1,17:35,
138,5,2,17:05,
139,24,3,18:00,
140,7,1,18:15,
141,24,5,18:30,
142,24,1,19:05,
143,7,1,19:15,
144,24,1,19:35,
145,24,3,20:00,
146,7,1,20:15,
147,24,1,20:35,
148,24,1,21:05,
149,7,3,21:30,
150,24,1,22:05,
151,7,3,23:05,
152,7,3,1:05,
153,1,3,6:38,
154,24,3,9:00,
155,7,3,1:05,
156,7,3,4:05,
157,24,3,5:00,
158,7,3,5:35,
159,24,5,6:00,
160,6,1,6:30,
161,7,3,6:30,
