code,name,latitude,longitude
36,R P DEL PUERTO,-34.9098914,-54.9555503
37,3 DE FEBRERO,-34.9125812,-54.9555324
38,SARANDI,-34.9126789,-54.9573676
39,A LEDESMA,-34.9139669,-54.9586144
40,TNAL MALDONADO,-34.916387,-54.958104
41,MALDONADO P20,-34.9226679,-54.9524178
42,Z MICHELLINI,-34.913971,-54.961455
43,HAITI,-34.9132026,-54.9645918
96,P17 M GUTIERREZ,-34.9303398,-54.9583263
102,P23 BRASILIA,-34.9218535,-54.9686745
103,P24 CARACAS,-34.920282,-54.9704247
104,ECUADOR,-34.9178967,-54.970749
108,MAUTONE,-34.9142018,-54.9616536
109,TNAL MALDONADO,-34.916778,-54.958087
110,A LEDESMA,-34.9137799,-54.9594792
111,R P DEL PUERTO,-34.9102601,-54.9597136
112,ITUZAINGO,-34.9074303,-54.9597955
114,AV LAVALLEJA,-34.9020113,-54.9600143
115,R GUERRA,-34.9019618,-54.9568443
116,A TAMARO,-34.9009412,-54.953446
117,COCA COLA,-34.8985021,-54.9534589
119,AG MALDONADO,-34.8932811,-54.9530644
137,L OLIVERA,-34.7938806,-54.9120611
138,AGENCIA S.CARLOS,-34.7921371,-54.9099415
140,L OLIVERA,-34.7909875,-54.9117351
119,RUTA 39,-34.7787478,-54.9198854
146,P18 AV ROOSEVELT,-34.925856,-54.9490074
148,P15,-34.9284002,-54.9461741
149,P13,-34.931334,-54.9431644
168,P18 S BOLIVAR,-34.922491,-54.9522895
186,B ARAUJO,-34.7838791,-54.9206473
187,EJIDO,-34.7867105,-54.9208195
188,C A CAL,-34.7871244,-54.9187124
189,M. SOLER,-34.7872513,-54.9163773
209,B ARAUJO,-34.7841387,-54.9203995
218,SARANDI,-34.9056037,-54.9578707
295,P20A DE FIGUEROA,-34.9191593,-54.9558923
422,FERMENTARIO,-34.9506901,-54.9353608
423,J LENZINA,-34.953478,-54.9400655
625,25 DE MAYO,-34.9094714,-54.9629605
635,SAN CARLOS,-34.9055619,-54.9546249
635,S J GARCIA,-34.886429,-54.939922
719,SAN CARLOS,-34.912629,-54.9542557
721,ESC CACHIMBA,-34.9142134,-54.9502866
985,CAMALEON,-34.9026101,-54.9946309
987,CNO A LA LAGUNA,-34.9082829,-54.9910118
1093,TNAL. MALDONADO,-34.9164294,-54.9585493
