service_id,date,exception_type
W-SDF,20240101,2
W-SDF,20240501,2
W-SDF,20240718,2
W-SDF,20240825,2
W-SDF,20241225,2
W-SDF,20250101,2
W-SDF,20250501,2
W-SDF,20250718,2
W-SDF,20250825,2
W-SDF,20251225,2
WS-DF,20240101,2
WS-DF,20240501,2
WS-DF,20240718,2
WS-DF,20240825,2
WS-DF,20241225,2
WS-DF,20250101,2
WS-DF,20250501,2
WS-DF,20250718,2
WS-DF,20250825,2
WS-DF,20251225,2
WSF-D,20240101,2
WSF-D,20240501,2
WSF-D,20240718,2
WSF-D,20240825,2
WSF-D,20241225,2
WSF-D,20250101,2
WSF-D,20250501,2
WSF-D,20250718,2
WSF-D,20250825,2
WSF-D,20251225,2
SDF-W,20240101,2
SDF-W,20240501,2
SDF-W,20240718,2
SDF-W,20240825,2
SDF-W,20241225,2
SDF-W,20250101,2
SDF-W,20250501,2
SDF-W,20250718,2
SDF-W,20250825,2
SDF-W,20251225,2
