route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
12,WSF-D,12-1-06:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-07:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-08:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-09:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-10:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-11:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-12:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-13:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-14:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-15:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-17:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-18:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-19:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-1-20:45,PUNTA DEL ESTE,12/1,0,12-1
12,WSF-D,12-2-07:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-08:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-09:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-10:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-11:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-12:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-13:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-14:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-15:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-16:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-18:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-19:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-20:10,MALDONADO,12/2,0,12-2
12,WSF-D,12-2-21:10,MALDONADO,12/2,0,12-2
1,W-SDF,1-4-07:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-09:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-10:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-11:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-13:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-14:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-12:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-15:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-17:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-4-18:45,SAN CARLOS VIAL,1/4,1,1-4
1,W-SDF,1-3-06:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-08:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-09:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-10:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-11:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-12:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-13:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-14:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-16:35,SAN CARLOS VIAL,1/3,0,1-3
1,W-SDF,1-3-17:35,SAN CARLOS VIAL,1/3,0,1-3
